Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
8991002122000	ABC CHOCMLT COFF 200ML (1X24)	KOPI	1.00	PCS	3,333	4,000	3,750
8991002122000	ABC CHOCMLT COFF 200ML (1X24)	KOPI	24.00	DUS	80,000	82,500	0
711844150003	ABC DELIGHT SQUASH 425ML(1X12)	SIRUP	1.00	PCS	9,900	11,500	10,500
711844150003	ABC DELIGHT SQUASH 425ML(1X12)	SIRUP	12.00	DUS	118,800	122,500	0
711844150034	ABC DELIGHT SQUASH LECI 425ML(1X12)	SIRUP	1.00	PCS	9,900	11,500	10,500
711844150034	ABC DELIGHT SQUASH LECI 425ML(1X12)	SIRUP	12.00	DUS	118,800	122,500	0
CRH 1/2KG	ACI CURAH 1/2KG (1X50)	ACI	1.00	PCS	3,215	5,000	4,500
CRH 1/2KG	ACI CURAH 1/2KG (1X50)	ACI	50.00	KRG	160,750	187,000	0
CRH 1KG	ACI CURAH 1KG (1X25)	ACI	1.00	PCS	6,100	8,500	7,500
CRH 1KG	ACI CURAH 1KG (1X25)	ACI	25.00	KRG	152,499	167,749	0
8993093665091	ACI SAGU TANI 500g(1X20)	ACI	1.00	PCS	7,350	9,000	7,900
8993093665091	ACI SAGU TANI 500g(1X20)	ACI	20.00	DUS	147,000	151,500	0
8992772586016	ADEM SARI CINGU 320ml KLG(1X24)	MNM	1.00	PCS	6,167	8,000	6,750
8992772586016	ADEM SARI CINGU 320ml KLG(1X24)	MNM	24.00	DUS	148,000	152,500	0
8997239660209	AGAR SWALLOW DS SUNRISE 7G(1X24X12)	BHN KUE	1.00	PCS	3,583	5,000	4,500
8997239660209	AGAR SWALLOW DS SUNRISE 7G(1X24X12)	BHN KUE	12.00	BOX	43,000	46,000	0
8997239660209	AGAR SWALLOW DS SUNRISE 7G(1X24X12)	BHN KUE	288.00	DUS	1,031,999	1,066,500	0
8997239661039	AGAR SWALLOW MDW 7G(1X24X12)	BHN KUE	1.00	PCS	3,326	4,500	4,000
8997239661039	AGAR SWALLOW MDW 7G(1X24X12)	BHN KUE	12.00	BOX	39,917	42,500	0
8997239661039	AGAR SWALLOW MDW 7G(1X24X12)	BHN KUE	288.00	DUS	957,999	995,000	0
8998898923704	ALANG SARI 300ml(1X12)	MNM	1.00	PCS	6,875	8,500	7,300
8998898923704	ALANG SARI 300ml(1X12)	MNM	12.00	DUS	82,500	85,000	0
ALT	ALAT LINTING (1X10)	BHN ROKOK	1.00	PCS	2,500	5,000	3,750
ALT	ALAT LINTING (1X10)	BHN ROKOK	10.00	PAK	25,000	30,000	0
8990800022444	ALPENLIBE STRWBRY 125g(1X40)	CANDY	1.00	PCS	6,000	7,500	6,500
8990800022444	ALPENLIBE STRWBRY 125g(1X40)	CANDY	40.00	DUS	240,000	247,500	0
8990800022437	ALPENLIBE SUSU KRML 125g	CANDY	1.00	PCS	6,000	7,500	6,500
8990800022437	ALPENLIBE SUSU KRML 125g	CANDY	40.00	DUS	240,000	247,500	0
8990800014210	ALPENLIEBLE JAR 360G+18G(1X12X100+5)	CANDY	1.00	PAK	33,583	36,000	35,750
8990800014210	ALPENLIEBLE JAR 360G+18G(1X12X100+5)	CANDY	12.00	DUS	403,000	415,500	0
AMPLOP	AMPLOP GRANDIA (1X100X100)	ALT	1.00	PCS	100	250	0
AMPLOP	AMPLOP GRANDIA (1X100X100)	ALT	100.00	BOX	10,000	15,000	13,000
AMPLOP	AMPLOP GRANDIA (1X100X100)	ALT	10,000.00	DUS	1,000,000	1,050,000	0
AE	ANIMAL EGG(1X60)	CANDY	1.00	PCS	1,583	2,000	1,750
AE	ANIMAL EGG(1X60)	CANDY	60.00	BOX	95,000	98,000	0
9415007009801	ANLENE ACTIV CKLT 230g(1X24)	SUSU FORMULA	1.00	PCS	29,416	32,500	31,500
